parnme,partrans,parchglim,parval1,parlbnd,parubnd,pargp,scale,offset,dercom,i,idx0,idx1,idx2,inst,j,pname,pstyle,ptype,usecol,zone
pname:p_inst:0_ptype:pp_pstyle:m_i:22_j:73_zone:1,log,factor,1.0,0.01,100.0,k,1.0,0.0,1,22,,,,0,73,p,m,pp,,1
pname:p_inst:0_ptype:pp_pstyle:m_i:22_j:76_zone:1,log,factor,1.0,0.01,100.0,k,1.0,0.0,1,22,,,,0,76,p,m,pp,,1
pname:p_inst:0_ptype:pp_pstyle:m_i:22_j:79_zone:1,log,factor,1.0,0.01,100.0,k,1.0,0.0,1,22,,,,0,79,p,m,pp,,1
pname:p_inst:0_ptype:pp_pstyle:m_i:22_j:82_zone:1,log,factor,1.0,0.01,100.0,k,1.0,0.0,1,22,,,,0,82,p,m,pp,,1
pname:p_inst:0_ptype:pp_pstyle:m_i:22_j:85_zone:1,log,factor,1.0,0.01,100.0,k,1.0,0.0,1,22,,,,0,85,p,m,pp,,1
pname:p_inst:0_ptype:pp_pstyle:m_i:22_j:88_zone:1,log,factor,1.0,0.01,100.0,k,1.0,0.0,1,22,,,,0,88,p,m,pp,,1
pname:p_inst:0_ptype:pp_pstyle:m_i:25_j:19_zone:1,log,factor,1.0,0.01,100.0,k,1.0,0.0,1,25,,,,0,19,p,m,pp,,1
pname:p_inst:0_ptype:pp_pstyle:m_i:25_j:25_zone:1,log,factor,1.0,0.01,100.0,k,1.0,0.0,1,25,,,,0,25,p,m,pp,,1
pname:p_inst:0_ptype:pp_pstyle:m_i:25_j:28_zone:1,log,factor,1.0,0.01,100.0,k,1.0,0.0,1,25,,,,0,28,p,m,pp,,1
pname:p_inst:0_ptype:pp_pstyle:m_i:25_j:31_zone:1,log,factor,1.0,0.01,100.0,k,1.0,0.0,1,25,,,,0,31,p,m,pp,,1
pname:p_inst:0_ptype:pp_pstyle:m_i:25_j:34_zone:1,log,factor,1.0,0.01,100.0,k,1.0,0.0,1,25,,,,0,34,p,m,pp,,1
pname:p_inst:0_ptype:pp_pstyle:m_i:25_j:37_zone:1,log,factor,1.0,0.01,100.0,k,1.0,0.0,1,25,,,,0,37,p,m,pp,,1
pname:p_inst:0_ptype:pp_pstyle:m_i:25_j:40_zone:1,log,factor,1.0,0.01,100.0,k,1.0,0.0,1,25,,,,0,40,p,m,pp,,1
pname:p_inst:0_ptype:pp_pstyle:m_i:25_j:43_zone:1,log,factor,1.0,0.01,100.0,k,1.0,0.0,1,25,,,,0,43,p,m,pp,,1
pname:p_inst:0_ptype:pp_pstyle:m_i:25_j:46_zone:1,log,factor,1.0,0.01,100.0,k,1.0,0.0,1,25,,,,0,46,p,m,pp,,1
pname:p_inst:0_ptype:pp_pstyle:m_i:25_j:49_zone:1,log,factor,1.0,0.01,100.0,k,1.0,0.0,1,25,,,,0,49,p,m,pp,,1
pname:p_inst:0_ptype:pp_pstyle:m_i:25_j:52_zone:1,log,factor,1.0,0.01,100.0,k,1.0,0.0,1,25,,,,0,52,p,m,pp,,1
pname:p_inst:0_ptype:pp_pstyle:m_i:25_j:55_zone:1,log,factor,1.0,0.01,100.0,k,1.0,0.0,1,25,,,,0,55,p,m,pp,,1
pname:p_inst:0_ptype:pp_pstyle:m_i:25_j:58_zone:1,log,factor,1.0,0.01,100.0,k,1.0,0.0,1,25,,,,0,58,p,m,pp,,1
pname:p_inst:0_ptype:pp_pstyle:m_i:25_j:64_zone:1,log,factor,1.0,0.01,100.0,k,1.0,0.0,1,25,,,,0,64,p,m,pp,,1
pname:p_inst:0_ptype:pp_pstyle:m_i:25_j:67_zone:1,log,factor,1.0,0.01,100.0,k,1.0,0.0,1,25,,,,0,67,p,m,pp,,1
pname:p_inst:0_ptype:pp_pstyle:m_i:25_j:70_zone:1,log,factor,1.0,0.01,100.0,k,1.0,0.0,1,25,,,,0,70,p,m,pp,,1
pname:p_inst:0_ptype:pp_pstyle:m_i:25_j:73_zone:1,log,factor,1.0,0.01,100.0,k,1.0,0.0,1,25,,,,0,73,p,m,pp,,1
pname:p_inst:0_ptype:pp_pstyle:m_i:25_j:76_zone:1,log,factor,1.0,0.01,100.0,k,1.0,0.0,1,25,,,,0,76,p,m,pp,,1
